Wines,Price,Category,Grapes 1,Grapes 2,Grapes 3,Grapes 4,Region 1,Region 2,Region 3,Region 4,Alcohol,Food Pairing,Notes,Link
"Terenzi - Viognier Maremma ""Montedonico"" IGT 2016",80,"White, Dry, Still",100% Viognier,,,,"Northern Rhone, France",,,,13.50%,"An excellent accompaniment for fish, soft cheeses and delicately-flavoured fish-based pasta recipes","Deep straw yellow Very fresh, with broad hints of apricots, pears and flowers Rich and full-bodied, with hints of citrus fruits",https://www.winelistasia.com/store/p79/Terenzi_-_Viognier_Maremma_%22Montedonico%22_IGT_2016.html
"Ascheri - Arneis delle Langhe ""Cristina Ascheri"" DOC 2023",62,"White, Dry, Still",100% Arneis,,,,"Piedmont, Italy",,,,13.00%,"An ideal match for fish and appetizers, it can also be recommended to be served as either an apÈritif or with full flavored fish and pork dishes","Pale straw colour Intense, engaging aromas of ripe peach, honeysuckle, and pear are rounded by hints of almond An un-oaked, dry, medium bodied white wine with crisp acidity, elegant wine with good complexity and a lingering finish Awards: 2012 - Tim Atkin: 89 points2013 - International Wine Challenge: Bronze",https://www.winelistasia.com/store/p94/Ascheri_-_Arneis_delle_Langhe_%22Cristina_Ascheri%22_DOC_2023.html
"Ascheri - Gavi di Gavi ""Cristina Ascheri"" DOCG 2024",65,"White, Dry, Still",100% Cortese,,,,"Piedmont (Gavi), Italy",,,,13.00%,"While it makes a great sipping wine, this wine pairs well with shellfish, veloutÈ sauces, sardine appetizers, and lightly-grilled Dover sole","Light straw-yellow Elegant bouquet with heather and some honeydew melon, nice acidity too and quite fresh, with some mint as well as it open Lively minerality and pleasant underlying bitterness that flow into a clean savory finish that flows into bitterness Awards: 2012 - Tim Atkin: 89 points2013 - Decanter: Commend2013 - International Wine Challenge: Bronze",https://www.winelistasia.com/store/p95/Ascheri_-_Gavi_di_Gavi_%22Cristina_Ascheri%22_DOCG_2024.html
"Ascheri - Viognier ""Montalupa"" DOC 2020",122,"White, Dry, Still",100% Viognier,,,,"Northern Rhone, France",,,,13.50%,Ideally paired with whipped salt cod (baccal‡) or a mild white fish such as baked sea bass poached in rice wine and miso,"Intense straw yellow colour with green nuances Bouquet, of apricots, white peaches, sage, basil and lavender It features aromas and flavors of apricot and peach, with accents of orange blossom, jasmine, and aniseed Awards: 2013 - Wine Advocate: 92+ points",https://www.winelistasia.com/store/p96/Ascheri_-_Viognier_%22Montalupa%22_DOC_2020.html
Cantine Volpi - Moscato Piemonte DOC 2024,37,"White, Sweet, Semi-Sparkling",100% Moscato,,,,"Piedmont (Asti), Italy",,,,5.50%,Try this with a variety of Italian pastries or a fruit dessert like citrus panna cotta with fresh berries,"Pale golden yellow Intensely aromatic notes of ripe citrus fruits, honey, and orange blossoms that are so classically identified with Moscato On the palate, the sweet melon, pear, and floral flavors are balanced by refreshing acidity",https://www.winelistasia.com/store/p101/Cantine_Volpi_-_Moscato_Piemonte_DOC_2024.html
"Cantine Volpi - Timorasso Colli Tortonesi ""La Zerba"" DOC 2023",66,"White, Dry, Still",100% Timorasso,,,,"Piedmont (Colli Tortonesi), Italy",,,,13.00%,"Quality pork cold cuts such as prosciutto ham and culatello, terrines and carpaccio. Serve with first course fish dishes, spaghetti carbonara, saffron risotto or with main dishes such as rich fish stews and English-style rare roast beef","In the glass the wine was a fairly deep lemon gold color Moderately intense with ripe apple, pineapple and pear fruits with a pronounced leesy kind of aroma Medium with medium acidity, flavors of creamy white pear, ripe apple and pineapple fruit along with vanilla, piedough and mint",https://www.winelistasia.com/store/p102/Cantine_Volpi_-_Timorasso_Colli_Tortonesi_%22La_Zerba%22_DOC_2023.html
"Lvnae Bosoni - Vermentino Colli di Luni ""Gray Label"" DOC 2023",68,"White, Dry, Still",100% Vermentino,,,,"Sardinia/Liguria/Tuscany, Italy",,,,12.50%,"Fresh and properly balanced on the palate, it rewards us with interesting developments of taste","Straw-yellow colour with youthful greenish highlights Intense, persistent and elegant with hints of hawthorn, grapefruit, rennet apple, white peach, undertones of acacia honey Fresh and properly balanced on the palate, it rewards us with interesting developments of taste Awards: 2013 - Decanter: Bronze",https://www.winelistasia.com/store/p106/Lvnae_Bosoni_-_Vermentino_Colli_di_Luni_%22Gray_Label%22_DOC_2023.html
"Lvnae Bosoni - Vermentino Colli di Luni ""Black Label"" DOC 2023",87,"White, Dry, Still",100% Vermentino,,,,"Sardinia/Liguria/Tuscany, Italy",,,,13.00%,"The wineís structure makes it particularly suitable for the most substantial dishes of Ligurian cuisine such as stockfish, stewed tripe, poultry, soups and fish. Serving temperature: 13/14∞ C","The colour is an intense straw-yellow with light golden highlights An elegant aroma with clear hints of wildflowers, aromatic herbs, spices, ripe fruit, honey Peach and freshly cut grass, then the taste transforms into green apple and grapefruit aromas balanced with acidy and saltiness",https://www.winelistasia.com/store/p107/Lvnae_Bosoni_-_Vermentino_Colli_di_Luni_%22Black_Label%22_DOC_2023.html
"Lvnae Bosoni - Vermentino Colli di Luni ""Numero Chiuso"" DOC 2016",153,"White, Dry, Still",100% Vermentino,,,,"Sardinia/Liguria/Tuscany, Italy",,,,14.00%,"Light meats, chicken, grilled salmon, pesto pasta","Total Bottles Produced: 2660Intense yellow with golden hues Rich and intense, mediteranean and ripe fruit Velvet and well balanced, balsamic and mineral hints, long and soft finishing",https://www.winelistasia.com/store/p108/Lvnae_Bosoni_-_Vermentino_Colli_di_Luni_%22Numero_Chiuso%22_DOC_2016.html
Peter Zemmer - Pinot Grigio DOC 2024,58,"White, Dry, Still",100% Pinot Grigio,,,,"Alsace/Burgundy, France",,,,13.50%,"Different starters, tureens and terrines, fish, shellfish and crustaceans, white meat and poultry","Radiant straw-yellow with a greenish tone Elegant flowery aroma with typical tones of ripe fruit (pear, melon) and spices Fruity mineral flavor, full-bodied with fresh acidity Awards: 2012 - Vinum: 14. 52014 - Wine & Spirit Magazine: 87 points2014 - Wine Enthusiast Magazine: 87 points2015 - Wine Spectator: 88 points",https://www.winelistasia.com/store/p116/Peter_Zemmer_-_Pinot_Grigio_DOC_2024.html
