Wines,Price,Category,Grapes 1,Grapes 2,Grapes 3,Grapes 4,Region 1,Region 2,Region 3,Region 4,Alcohol,Food Pairing,Notes,Link
Peter Zemmer - Pinot Noir Alto Adige DOC 2024,60,"Red, Dry, Still","100% Pinot Noir - Alto Adige, Italy",,,,"Burgundy, France",,,,13.50%,"Red meats, lamb, fowl, and game","Ruby red colour with garnet red nuances Beautiful on the nose, with with soft cherry, plum, and rose petal aromas The flavors are cranberry, cherry and plum. There‚Äôs a bit of spice to it also. The finish is long with cranberry and spices Awards: 2013 - Wine Spectator: 89 points2013 - Wine Enthusiast Magazine: 88 points",https://www.winelistasia.com/store/p113/Peter_Zemmer_-_Pinot_Noir_Alto_Adige_DOC_2024.html
"Peter Zemmer - Lagrein Riserva ""Furggl"" DOC 2017",96,"Red, Dry, Still",100% Lagrein,,,,"Alto Adige, Italy",,,,13.50%,"Hearty red meat dishes, game, sharp cheeses","Deep, compact garnet red with violet reflections Aromatic is characterized by violets, bitter chocolate, wild berries, licorice, and vanilla Velvety, with soft tannins, prominent structure, very long and lasting in flavor",https://www.winelistasia.com/store/p114/Peter_Zemmer_-_Lagrein_Riserva_%22Furggl%22_DOC_2017.html
"Cantina di Trento - Merlot Trentino ""1339"" DOC 2015",51,"Red, Dry, Still",100% Merlot,,,,"Bordeaux, France",,,,13.00%,"An ideal partner for dishes of red meats, game and venison. Serving temperature: 17-18∞C","Ruby red in colour with garnet hues Notes of spices and red berry fruits Well balanced on the palate, elegant, with soft tannins",https://www.winelistasia.com/store/p125/Cantina_di_Trento_-_Merlot_Trentino_%221339%22_DOC_2015.html
"Cantina di Trento - Teroldego ""Vigneti delle Dolomiti"" IGT 2016",51,"Red, Dry, Still",100% Teroldego,,,,"Trentino, Italy",,,,13.00%,"An ideal partner for dishes of red meats, game and venison. Serving temperature: 17-18∞C","Red ruby in colour Vinous on the nose with a light note of violet Dry on the palate, full bodied, with light tannins and medium alcoholic",https://www.winelistasia.com/store/p126/Cantina_di_Trento_-_Teroldego_%22Vigneti_delle_Dolomiti%22_IGT_2016.html
"Cantina di Trento - Marzemino Superiore ""Ziresi"" DOC 2015",71,"Red, Dry, Still",100% Marzemino,,,,"Trentino, Italy, Italy",,,,13.00%,"Mild dishes, particularly with mushrooms. Serving temperature: 18∞ C","Ruby in colour Floral and violet on the nose Delicate, inviting with soft tannins",https://www.winelistasia.com/store/p127/Cantina_di_Trento_-_Marzemino_Superiore_%22Ziresi%22_DOC_2015.html
"Mamete Prevostini - Sforzato di Valtellina ""Corte di Cama"" DOCG 2019",171,"Red, Dry, Still",100% Nebbiolo,,,,"Piedmont, Italy",,,,15.50%,"Venison and game, roasted meat , stews , cold cuts, braised meats, stracotto , strong and long aged cheeses. Perfect by itself","Dark garnet-red colour Marked array of aromas, polished spicy edges and hints of dried fruit and flowers Warm, full and lusty flavour, but soft and rounded at the same time, with lingering sensations of jams and raisin Awards: 2007 - Cellar Tracker: 91 points2008 - Wine Spectator: 90 points2009 - Wine Spectator: 92 points",https://www.winelistasia.com/store/p133/Mamete_Prevostini_-_Sforzato_di_Valtellina_%22Corte_di_Cama%22_DOCG_2019.html
"Mamete Prevostini - Sforzato di Valtellina ""Albareda"" DOCG 2018",245,"Red, Dry, Still",100% Nebbiolo,,,,"Piedmont, Italy",,,,16.00%,"Meditation wine, goes well with cheese rather dry (Bitto 4-5 years)","Dark pomegranate red colour Striking varied aroma with spicy and fruity smells and dried flowers scent Soft, warm, full bodied taste, with strong raisin and preserve feelings Awards: 2009 - Wine Spectator: 93 points2010 - Wine Spectator: 90 points2011 - Wine Spectator: 92 points2012 - Decanter: 87 points",https://www.winelistasia.com/store/p134/Mamete_Prevostini_-_Sforzato_di_Valtellina_%22Albareda%22_DOCG_2018.html
"Antichi Poderi Jerzu - Cannonau ""Bantu"" DOC 2020",45,"Red, Dry, Still",100% Cannonau,,,,Sardinia,,,,13.00%,Meat cooked over an open flame is an art-form in Sardinia and specialties such as spit-roasted suckling pig or lamb seem perfect for the rich and complex flavors of Cannonau,"Ruby red colour with purple tinges Typical, clear cut, with scents of forest fruits and Mediterranean scrub Dry, medium-bodied red wine is bursting with flavors of dark red raspberries and strawberries",https://www.winelistasia.com/store/p213/Antichi_Poderi_Jerzu_-_Cannonau_%22Bantu%22_DOC_2020.html
"Antichi Poderi Jerzu - Cannonau Riserva ""Josto Miglior"" DOC 2017",107,"Red, Dry, Still",100% Cannonau,,,,Sardinia,,,,13.50%,"It matches well with savory dishes characterized by intense flavors, as well complex dishes enriched by spices","Ruby red colour with purple tinges Flavors of very ripe strawberries, black cherries, herbs, and spices Multiple layers of Mediterranean herbs, roasted coffee, spices, and licorice with a generous core of black and red fruit",https://www.winelistasia.com/store/p215/Antichi_Poderi_Jerzu_-_Cannonau_Riserva_%22Josto_Miglior%22_DOC_2017.html
Montalbano - Merlot Refosco Organic IGT 2019,43,"Red, Dry, Still",70% Merlot,,,,"Bordeaux, France",,,,12.50%,"Pais well with soups, roasted white and red meat, rabbit in particular","Intense red in colour, leaning towards ruby, with good structure Intense end elegant it shows currant, plum, black cherry and blackberry fruit Spices and hints of small red fruits ennoble a majestic progression",https://www.winelistasia.com/store/p237/Montalbano_-_Merlot_Refosco_Organic_IGT_2019.html
"Montalbano - Nero d'Avola ""Terre Siciliane"" Organic IGT 2020",43,"Red, Dry, Still",100% Nero d'Avola,,,,"Sicily, Italy",,,,13.00%,"Delicious with roasted meats, mushroom sauces, caponata spreads, and eggplant parmigiana","Red ruby with violet hues Intense forest-berry bouquet with hints of violets and spices On the palate, abundant flavors of ripe fruit and exotic spices are balanced by a pleasing acidity and silky tannins",https://www.winelistasia.com/store/p238/Montalbano_-_Nero_d%27Avola_%22Terre_Siciliane%22_Organic_IGT_2020.html
Montalbano - Refosco del Peduncolo Rosso ORGANIC DOC 2019,48,"Red, Dry, Still",100% Refosco dal Peduncolo Rosso,,,,"Friuli - Venezia Giulia, Italy",,,,12.00%,"Ideal with cured meat, sausage, matured cheese. A perfect picnic wine","Ruby-red in color With an inimitable herbaceous nose reminiscent of freshly cut hay Concentrated flavors, spicy and savory, with developed tannins and a hint of pleasant bitterness",https://www.winelistasia.com/store/p239/Montalbano_-_Refosco_del_Peduncolo_Rosso_ORGANIC_DOC_2019.html
Montalbano - Amarone della Valpolicella ORGANIC DOC 2011,140,"Red, Dry, Still",50% Corv,15% Rond,5% Oseleta,,"Veneto, Italy",,,,15.50%,"Pair this wine with osso bucco, Bordelaise sauces, wild boar ravioli, or grilled cowboy rib-eye","Intense red colour with garnet fleck Aromas of dried black cherries, cassis, truffles, and chocolate fudge leap out of the glass Dried cherries, prunes, bitter dark chocolate, a mineral touch of stone and the distinctiveness of vanilla",https://www.winelistasia.com/store/p243/Montalbano_-_Amarone_della_Valpolicella_ORGANIC_DOC_2011.html
"Eugenio Collavini - Collio ""Broy"" DOC 2016",121,"White, Dry, Still",50% Friulano,Chardonnay,20% Sauvignon Blanc,,"Friuli - Venezia Giulia, Italy","Burgundy, France","Loire Valley/Bordeaux, France",,13.50%,"Haute cuisine, fish, either oven-baked or served in sauce, truffle risotto and moderately mature cheeses","Lustrous straw with pale greenish highlights Intense, lingering aromas of ripe tropical fruits, acacia honey, orange peel and summer flower Powerful, long, soft-textured and warm, nicely balanced by freshness and minerality Awards: 2016 - James Suckling: 91 Points2015 - James Suckling: 95 Points2015 - Gambero Rosso: 3 Glasses2014 - Gambero Rosso: 3 Glasses",https://www.winelistasia.com/store/p261/Eugenio_Collavini_-_Collio_%22Broy%22_DOC_2016.html
Eugenio Collavini - Pignolo DOC 2013,165,"Red, Dry, Still",50% Friulano,Chardonnay,20% Sauvignon Blanc,,"Friuli - Venezia Giulia, Italy","Burgundy, France","Loire Valley/Bordeaux, France",,14.00%,Red meat preparations from the great culinary tradition - Serving temperature 16∞C,"Intense ruby red with deep tones A very distinctive nose offers a wealth of nuances, presenting very ripe red fruits and morello cherries before incense, autumn leaves and dark chocolate. The bouque acquires spicy notes as the wine ages Massive breadth and warmth in the mouth, where assertive extract never loses its poise, a wine of extraordinary power and vigour",https://www.winelistasia.com/store/p262/Eugenio_Collavini_-_Pignolo__DOC_2013.html
"Eugenio Collavini - Refosco ""Forresco"" DOC 2011",142,"Red, Dry, Still",40% Red Stock Refosco,40% Faedis Refosco,20% Pignolo,,"Friuli - Venezia Giulia, Italy","Friuli - Venezia Giulia, Italy",,,13.50%,Red meat - Serve at 16 to 18 ∞C in Riedel Vinum Chardonnay glass or similar,"Deep, strong, ruby-red, almost impenetrable Absolute complexity, with precise and intense hints of currant, wild blackberry and plum Balsamic and spicy sensations of a rare complexity. The gently strong tannins close with a never-ending aftertaste Awards: 2011 - James Suckling: 932008 - James Suckling: 932007 - James Suckling: 92",https://www.winelistasia.com/store/p263/Eugenio_Collavini_-_Refosco_%22Forresco%22_DOC_2011.html
"Eugenio Collavini - Schioppettino ""Turian"" DOC 2020",106,"Red, Dry, Still",100% Schioppettino (ribolla Nera),,,,"Friuli - Venezia Giulia, Italy",,,,13.00%,"Feathered game, wood pigeon, duck. Pappardelle pasta in hare sauce, wild boar, roe deer - Serving temperature: 16-18 ∞C","Deep ruby is still tinged with purple Intriguingly concentrated, evolved aromatics foreground varietal notes of forest fruits, raspberries, black pepper and spices Soft tannins on entry with freshness that accompanies progression through to the lingering finale",https://www.winelistasia.com/store/p268/Eugenio_Collavini_-_Schioppettino_%22Turian%22_DOC_2020.html
"Ca' Maiol - Valtenesi ""Negresco"" DOC 2018",66,"Red, Dry, Still",Groppello,Barbera,Sangiovese,Marzemino,"Lombardia, Italy","Piedmont, Italy","Tuscany, Italy",,14.00%,"Spicy pasta and rice dishes, barbecued, roast and spit-roaste meats, mature cheeses.","Deep purplish red A tangible hit of red and black berry fruits, dark spices and woody notes. Fleshy with a caressing mouth feel. Silky and precise tannins, refreshing, dynamic progression and a finish which thrums with fruit and spice.",https://www.winelistasia.com/store/p274/Ca%27_Maiol_-_Valtenesi_%22Negresco%22_DOC_2018.html
Baglio di Pianetto - Frappato ORGANIC IGT 2020,49,"Red, Dry, Still",100% Frappato,,,,"Sicily, Italy",,,,13.50%,Sicilyís traditional ìpasta allíanciovaî withanchovies and breadcrumb,"A clear and fairly dense ruby red Floral (rose) and fruity (marasca cherries and red plums) Fresh, fine and quite intense, sapid. The aftertaste reveals notes of medlar and peach together with a delicate tannin",https://www.winelistasia.com/store/p286/Baglio_di_Pianetto_-_Frappato_ORGANIC__IGT_2020.html
Baglio di Pianetto - Nero d'Avola ORGANIC DOC 2021,49,"Red, Dry, Still",100% Nero d'Avola,,,,"Sicily, Italy",,,,13.00%,Sicilian ìcaponataî with tomato concasse,"A clear and dense Tyrian purple red Intense and fine, floral (lavender) and fruity (cherries and plums) with a light hint of grass Dry, quite sapid and lingering, a firm body with soft tannins",https://www.winelistasia.com/store/p287/Baglio_di_Pianetto_-_Nero_d%27Avola_ORGANIC_DOC_2021.html
Baglio di Pianetto - Syrah ORGANIC DOC 2021,49,"Red, Dry, Still",100% Syrah,,,,"Northern Rhone, France",,,,14.00%,"Home-made ìpappardelleî with game ragout, beef ìTagliataî with arugula and parmesan shaving","Clear and dense ruby red with Tyrian purple highlights Intense and fine, fruity (raspberry, wild berries) , spicy Dry, quite sapid and lingering, with a good body supported by elegant tannins",https://www.winelistasia.com/store/p288/Baglio_di_Pianetto_-_Syrah__ORGANIC_DOC_2021.html
ERA - Montepulciano d'Abruzzo DOC 2020,39,"Red, Dry, Still",100% Montepulciano d'Abruzzo,,,,"Abruzzo, Italy",,,,12.50%,"Enjoy with typical Italian dishes, red meats, pizza and cheese","Bright ruby-red in color Delicious aromas of black cherries, strawberries, and herbs Generous, yet pure on the palate, this wine's ripe, round tannins and delicate acidity make for an excellent overall structure",https://www.winelistasia.com/store/p297/ERA_-_Montepulciano_d%27Abruzzo__DOC_2020.html
ERA - Primitivo del Salento ORGANIC IGT 2020,39,"Red, Dry, Still",100% Primitivo,,,,"Puglia (Puglia), Italy",,,,12.50%,"Savoury first courses, red meat and game, mature cheese","Lively red colour with delicate garnet reflections Intense aroma, with notes of plum and cherry, spicy, with rosemary and vanilla scents Medium well balanced with cherry flavour and a finish of earth, soil and white pepper",https://www.winelistasia.com/store/p298/ERA_-_Primitivo_del_Salento_ORGANIC__IGT_2020.html
"Antichi Poderi Jerzu - Cannonau di Sardegna Passito ""Akratos"" (500ml) DOC 2016",83,"Red, Sweet, Still",100% Cannonau,,,,Sardinia,,,,15.00%,Ideal accompaniment for typical sweets and desserts with honey and tasty cheeses,"Ruby red color with garnet reflections, limpid with the formation of generous and well-evident arches Scent broad, intense and complex, we recognize black cherry, myrtle and plum on a final menthol On the palate an enveloping entrance, sweet and soft, well balanced by strong tannins and sapidity, beautiful final freshness",https://www.winelistasia.com/store/p300/Antichi_Poderi_Jerzu_-_Cannonau_di_Sardegna_Passito_%22Akratos%22_%28500ml%29_DOC_2016.html
Ciu Ciu - Lacrima di Morro D'Alba DOC 2021,52,"Red, Dry, Still",100% Lacrima di Morro d'Alba,,,,"Marche, Italy",,,,13.00%,"In addition to cold cuts and traditional pasta dishes, the wine pairs well with roasted meat dishesr","Intense ruby red with violet reflections Uniquely rich organoleptic characteristics, intense, pleasantly fruity (strawberry, marasca cherry) and flowery (violet, rosebuds) Very well-balanced with elegant aromas and notes of violet and rose petal followed by ripe black fruit and a very aromatic on the nose and finish",https://www.winelistasia.com/store/p303/Ci%C3%B9_Ci%C3%B9_-_Lacrima_di_Morro_D%27Alba_DOC_2021.html
"Ci˘ Ci˘ - Rosso Marche ""Oppidum"" ORGANIC IGT 2016",90,"Red, Dry, Still",100% Montepulciano,,,,"Abruzzo, Italy",,,,15.00%,"Roasted veal stuffed with spinach, deep-dish pizza, beef satay","Colour red with purple shades Lingering aroma, notes of red fruit, spices, and dried fruit Blueberry aromas with violet, dried herb, nutmeg notes. An expressive wine with redcurrant comfit, blue fruit flavors and plentiful chalky textures",https://www.winelistasia.com/store/p306/Ci%C3%B9_Ci%C3%B9_-_Rosso_Marche_%22Oppidum%22_ORGANIC_IGT_2016.html
"Ci˘ Ci˘ - Rosso Offida ""Esperanto"" ORGANIC DOCG 2011",100,"Red, Dry, Still",85% Montepulciano,15% Cabernet,,,"Abruzzo, Italy",,,,15.00%,"Braised goat with chilli, lamb and mint sausages with mashed potato and onion gravy, kidneys in red wine","Colour bright ruby red with garnet hues Bouquet intense on the nose with scents of ripe Marasca cherry, dried floral notes of violet and hints of vegetable undergrowth. Spicy notes of licorice and balsamic eucalyptus Smooth, silky and well balanced, with a persistent finish",https://www.winelistasia.com/store/p307/Ci%C3%B9_Ci%C3%B9_-_Rosso_Offida_%22Esperanto%22_ORGANIC_DOCG_2011.html
"Ci˘ Ci˘ - Rosso Piceno ""Bacchus"" ORGANIC DOC 2023",45,"Red, Dry, Still",Montepulciano,Sangiovese,,,"Abruzzo, Italy","Tuscany, Italy",,,13.50%,"Pairs beautifully with stuffed rigatoni, lasagna with meat sauce or ravioli. Also enjoy with antipasto plates and charcuterie","Colour purple and bordeaux shades Zesty, with hints of forest fruits, strawberry and vanilla A tangy, fruit-forward character with a lean flavour, slight tannins, fine aromatic after taste. Dry, savoury and peachy taste with scents of vanilla and nuts",https://www.winelistasia.com/store/p308/Ci%C3%B9_Ci%C3%B9_-_Rosso_Piceno_%22Bacchus%22_ORGANIC_DOC_2023.html
"Ci˘ Ci˘ - Rosso Piceno Superiore ""Gotico"" ORGANIC DOC 2018",61,"Red, Dry, Still",70% Montepulciano,30% Sangiovese,,,"Abruzzo, Italy",,,,14.00%,"Roast Lamb, casseroles, stews","Colour ruby red with bordeaux shades Intense, elegant nose, with fruit-driven scents and a hint of preserve, blackberry, cherry, all blending perfectly into the wood's spicy undertones A pulpy mouthfeel, velvety and just the right touch of tannin and fruit. The warm, lingering, full-bodied and well-orchestrated flavour makes it a distinguished and charismatic wine",https://www.winelistasia.com/store/p309/Ci%C3%B9_Ci%C3%B9_-_Rosso_Piceno_Superiore_%22Gotico%22_ORGANIC_DOC_2018.html
"Ci˘ Ci˘ - Sangiovese ""Saggio"" ORGANIC IGT 2019",77,"Red, Dry, Still",100% Sangiovese,,,,"Marche, Italy",,,,14.50%,"Pappardelle pasta with a rabbit and porcini mushroom rag˘, fried chicken livers, slow-roasted pork with white bean mash","Colour intense purple red Red fruits, blackberries and cherries Strong with cherries, mint and coffee taste, sweet tannin",https://www.winelistasia.com/store/p310/Ci%C3%B9_Ci%C3%B9_-_Sangiovese_%22Saggio%22_ORGANIC_IGT_2019.html
Grosjean Freres - Gamay DOC 2023,68,"Red, Dry, Still",100% Gamay,,,,"Beaujolais, France",,,,13.00%,"Cured meats, particularly lard, motzetta and salami but also with a traditional mountain soup","Bright ruby red Fruity bouquet that has a pronounced stawberry scent Delicate but also complex and intense with fresh, delicate tannins",https://www.winelistasia.com/store/p328/Grosjean_Freres_-_Gamay_DOC_2023.html
"Mamete Prevostini - Sassella Valtellina Sup. ""Sommarovina"" DOCG 2021",127,"Red, Dry, Still",100% Nebbiolo,,,,"Piedmont, Italy",,,,13.50%,"Perfect for sturdy main courses, based on red meats, roasted and grilled, long cooked (brasati, salmÏ game)","Purple-red in colour A bouquet exuding blueberries and blackberries Bold and well-defined flavour, robust yet silky and with a refreshing liquorice and almond finish Awards: 2008 - Wine Spectator: 90 points2009 - Wine Spectator: 91 points2009 - Cellar Tracker: 91 points2011 - Wine & Spirit Magazine: 90 points",https://www.winelistasia.com/store/p333/Mamete_Prevostini_-_Sassella_Valtellina_Sup._%22Sommarovina%22_DOCG_2021.html
ZAO - Amarone della Valpolicella Classico DOC 2009,358,"Red, Dry, Still",30% Corvina,30% Corvinone,30% Rondinella,10% Oseleta,"Veneto, Italy",,"Veneto, Italy",,15.50%,"Ideal matching with aged cheese, courtyard meet and game, proportionally dosed jams","Intense deep ruby colour The alcohol is well sustained by the fruit entirety as cherry, prune, black currant, mulberry, lightly spicy towards nutmeg Compact, wide and persistent with in addiction balsamic notes sustained by good acidity and tannin",https://www.winelistasia.com/store/p362/ZAO_-_Amarone_della_Valpolicella_Classico_DOC_2009.html
"Grattamacco - Rosso Bolgheri Superiore ""Grattamacco"" DOC 2021",207,"Red, Dry, Still",65% Cabernet Sauvignon,20% Merlot,15% Sangiovese,,"Bordeaux, France","Bordeaux, France","Tuscany, Italy",,14.00%,"Fresh and tasty, with a considerable mineral structure. Creamy and sweet through the well measured use of oak. Good length and structure","Brilliant ruby red Intense and well outlined nose, very refined: evolving with black berries, together with clear balsamic and Mediterranean traces Good balance between th√® minerai traces and th√® fine tannic notes. Good length, with more complex notes of tobacco Awards: 2017 - Wine Advocate: 95 points2017 - James Suckling: 94 points2017 - Gambero Rosso: 3 Glasses2017 - Wine Spectator: 95 points2017 - Decanter: 96 points2016 - Wine Advocate: 96 points2016 - James Suckling: 95 points2016 - Gambero Rosso: 3 Glasses2016 - Decanter: 96 points2016 - Wine Spectator: 95 points2015 - Wine Advocate: 97 points2015 - Gambero Rosso: 3 Glasses",https://www.winelistasia.com/store/p366/Grattamacco_-_Rosso_Bolgheri_Superiore_%22Grattamacco%22_DOC_2021.html
"Mamete Prevostini - Sassella Valtellina Sup. ""S. Lorenzo"" DOCG 2017",145,"Red, Dry, Still",100% Nebbiolo,,,,"Piedmont, Italy",,,,13.50%,"Game, roasts, game, stews, meats, braised beef, stews, hard cheeses and cured","Deep garnet-red in colour with shades of orange within A complex array of aromas, smacking of raspberry and cherry Dry and warm, persistent and elegant with final refreshing licorice, almonds, underlining wax and taste confirms a wine of character, austere, compact Awards: 2010- Cellar Tracker: 91points2011 - Wine Spectator: 91 points",https://www.winelistasia.com/store/p371/Mamete_Prevostini_-_Sassella_Valtellina_Sup._%22S._Lorenzo%22_DOCG_2017.html
"Sartori - Amarone della Valpolicella Classico Riserva ""Corte Bra"" DOCG 2016",144,"Red, Dry, Still",60% Corvina,20% Corvinone,15% Rondinella,5% Oseleta,"Veneto, Italy",,"Veneto, Italy",,15.50%,"Meditation wine. It can be best enjoyed with elaborated recipes, tasty meats, game and aged cheeses.","Intense red in colour tending to garnet with aging. A wide bouquet, fine and complex with characteristic notes of red fruits jam and spices. Intense fragrances of cherry, dried fruit and tobacco stand out. When tasted, this wine inebriates the palate thanks to its exceptional power and extreme balance. and persistent. Awards: 2004 - Wine Spectator: 92 points2007 - Wine Spectator: 92 points2007 - Wine Enthusiast Magazine: 91 points2008 - Wine Spectator: 91 points",https://www.winelistasia.com/store/p373/Sartori_-_Amarone_della_Valpolicella_Classico_Riserva_%22Corte_Bra%22_DOCG_2016.html
Torre dei Beati - Montepulciano D'Abruzzo ORGANIC DOC 2021,56,"Red, Dry, Still",100% Montepulciano d'Abruzzo,,,,"Abruzzo, Italy",,,,13.50%,"Perfect paired to simple meet dishes of the abruzzese tradition, such as grilled lamb, pork ìcif e ciafî, lamb ìcoratellaî, arrosticini","Deep, violet shaded ruby red Fruity, lightly enriched by spicy hints coming from the old vineyard and from the not overwhelming aging in wood Smooth well balanced by the fine tannins, which, in combination with the natural minerality and the well measured acidity",https://www.winelistasia.com/store/p378/Torre_dei_Beati_-_Montepulciano_D%27Abruzzo_ORGANIC_DOC_2021.html
"Torre dei Beati - Montepulciano D'Abruzzo ORGANIC ""Mazzamurello"" DOC 2018",97,"Red, Dry, Still",100% Montepulciano d'Abruzzo,,,,"Abruzzo, Italy",,,,14.00%,"Important meet dishes, as Montepulciano braised beef, stewed wild boar with juniper and Aurum orange liquor, aged pecorino cheese","Deep and dense ruby red The ‚Äúsur lies‚Äù technique gives the wine a natural stability, enriching the wide fruity fan of very elegant nuances of flowers and spices Fresh and deep palate, able to develop a very long finish and an intriguing drinkability Awards: 2017: Vinum 92 Points",https://www.winelistasia.com/store/p380/Torre_dei_Beati_-_Montepulciano_D%27Abruzzo_ORGANIC_%22Mazzamurello%22_DOC_2018.html
"Les Terrasses De L'Arago - ""Les Espassoles"" IGP 2019",46,"Red, Dry, Still",50% Cabernet Sauvignon,50% Carignan,,,"Bordeaux, France","Aragon, Spain",,,13.00%,"Delicious with pepper steaks, barbecue and grilled meats",Ruby red Fresh fruity aromas of black cherry and raspberry Supple and full bodied with light tannins very beautiful aromatic complexity Awards: Gilbert & Gaillard: Gold,https://www.winelistasia.com/store/p404/Les_Terrasses_De_L%27Arago_-__%22Les_Espassoles%22_IGP_2019.html
"Les Terrasses De L'Arago - ""L'Heritage"" AOP 2018",92,"Red, Dry, Still",Grenache Noir,Syrah,MourvËdre,,"Aragon/Catalonia, Spain","Northern Rhone, France",,,14.50%,"Delicious with red meats and gastronomy dishes, grilled meats and cheese","Deep red Spices mature fruits great complexity Fine, round and elegant wine. Intense aromas of vanilla, licorice and leather Awards: 2015 - Decanter: 96 points",https://www.winelistasia.com/store/p405/Les_Terrasses_De_L%27Arago_-__%22L%27Heritage%22_AOP_2018.html
"Les Terrasses De L'Arago - Rouge ""ElecciÛ"" AOP 2019",54,"Red, Dry, Still",Grenache Noir,Syrah,,,"Aragon/Catalonia, Spain","Northern Rhone, France",,,14.00%,Gastronomy red wine to drink with spicy or Mediterranean food,"Ruby red Intense with blackcurrant, violet, spicy and grey pepper aromas Round and ample wine. Fleshy with aromas of violet and dried herbs Awards: 2018 Gilbert & Gaillard: Gold",https://www.winelistasia.com/store/p408/Les_Terrasses_De_L%27Arago_-_Rouge_%22Elecci%C3%B3%22_AOP_2019.html
"Les Terrasses De L'Arago - Vin Deux Naturel ""Rivesaltes Tuile"" VDN 2009",68,"Red, Sweet, Still",100% Grenache,,,,"Aragon/Catalonia, Spain",,,,16.00%,"As an aperitif, with fruits or chocolate desserts","Dark brown Chocolate and mocha notes, along with figs and leather Brilliant ruby robe Ripe fruits and plums aromas Generous and tasty tannins",https://www.winelistasia.com/store/p410/Les_Terrasses_De_L%27Arago_-_Vin_Deux_Naturel_%22Rivesaltes_Tuile%22_VDN_2009.html
Peter Zemmer - Pinot Noir Riserva Vigna Kofl DOC 2022,107,"Red, Dry, Still","100% Pinot Noir - Alto Adige, Italy",,,,"Burgundy, France",,,,13.50%,"Red meats, lamb, fowl and game, fresh cheese","Intense and brilliant ruby red Rich, fine notes of berries and sour cherries, seductive Harmoniously round and soft, compact, elegant with rich berry fruit Awards: 2018 - James Suckling: 92 points2017 - Robert Parker: 93 points",https://www.winelistasia.com/store/p420/Peter_Zemmer_-_Pinot_Noir_Riserva_Vigna_Kofl_DOC_2022.html
"Terenzi - Morellino di Scansano Riserva ""Purosangue"" DOCG 2019",86,"Red, Dry, Still",100% Sangiovese,,,,"Tuscany, Italy",,,,14.00%,"Particularly suitable for meat dishes, roasts and game","Deep ruby red with purple nuances Characteristic of the variety; it is reminiscent of wild berries, cloves and white pepper Velvety, full-bodied and very well-balanced, with persistent tannins Awards: 2011 - Wine Enthusiast Magazine: 90 points2012 - Wine & Spirit Magazine: 90 points2013 - Wine Spectator: 92 points2013 - Wine & Spirit Magazine: 90 points",https://www.winelistasia.com/store/p424/Terenzi_-_Morellino_di_Scansano_Riserva_%22Purosangue%22_DOCG_2019.html
"Mascarello Giuseppe e Figlio - Barolo ""Monprivato"" DOCG 2017",471,"Red, Dry, Still",100% Nebbiolo,,,,"Piedmont, Italy",,,,14.00%,"Red meats in general, game, mature cheeses","Clear. Light red Laced with notes of red cherry, raspberry, mint, white pepper and orange peel Sweet and bitter cherry fruits and inner floral tones which lasted into the finish, joined by lingering notes of cedar Awards: 2011 - Wine Spectator: 95 points2011 - Wine Enthusiast Magazine: 95 points2011 - Luca Gardini: 98 points",https://www.winelistasia.com/store/p426/Mascarello_Giuseppe_e_Figlio_-_Barolo_%22Monprivato%22_DOCG_2017.html
Albino Rocca - Barbaresco DOCG 2022,100,"Red, Dry, Still",100% Nebbiolo,,,,"Piedmont, Italy",,,,14.50%,"Rich pastas, beef, lamb and game","Garnet red Fragant and delicate, with hints of violet, humus and woody spice Dry, rustic and expressive, with good tannins Awards: 2014 - Falstaff: 92 points2017 - Wine Enthusiast: 95 points2017 - Wine Spectator: 90 points",https://www.winelistasia.com/store/p428/Albino_Rocca_-_Barbaresco__DOCG_2022.html
"Albino Rocca - Barbaresco ""Angelo"" DOCG 2018",222,"Red, Dry, Still",100% Nebbiolo,,,,"Piedmont, Italy",,,,14.50%,"Rich pastas, beef, lamb and game","Ruby-red in color with garnet highlights Mature red & dark fruits, earthy notes with mineral vein and complexing floral notes Soft mouthfeel, with a dense palate showing power and structure. Sweet ripe fruit balances the grippy tannins on the finish. ""Wonderful balance and depth with lots of studding. Coating tannins are perfectly integrated into the whole Awards: 2017 - Falstaff: 93points2016 - Falstaff: 92 points2015 - Falstaff: 95points2014 - Falstaff: 93points",https://www.winelistasia.com/store/p429/Albino_Rocca_-_Barbaresco_%22Angelo%22_DOCG_2018.html
"Albino Rocca - Barbaresco ""Ronchi"" Riserva DOCG 2016",313,"Red, Dry, Still",100% Nebbiolo,,,,"Piedmont, Italy",,,,14.50%,"Rich pastas, lamb, beef, game and aged cheeses","Garnet red Bright cherry, strawberry and floral aromas Soft mouthfeel, with a dense palate showing power and structure. Sweet ripe fruit balances Succulent red cherry, plum, rose petal, spice, mint and licorice excellent harmony and the aftertaste lingers with a mineral element Awards: 2016 - Falstaff: 91 points2015 - Vinum: 17/20",https://www.winelistasia.com/store/p430/Albino_Rocca_-_Barbaresco_%22Ronchi%22_Riserva_DOCG_2016.html
